#,QId,,Vraag1,,Vraag2,,Vraag3,,Vraag4,,Vraag5,,Vraag6,,Vraag7,,Vraag8,,Vraag9,,Vraag10,,Vraag11,,Vraag12,,Vraag13,,Vraag14,,Vraag15,,Vraag16,,Vraag17,,Vraag18,,Vraag19,,Vraag20,,Vraag21,,Vraag22,,Vraag23,,Vraag24,,Vraag25,,Vraag26,,Vraag27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,R,,A,,B,,C,,B,,A,,C,,A,,B,,A,,C,,B,,B,,A,,C,,B,,A,,A,,A,,B,,B,,C,,A,,B,,B,,A,4,,3,
16,21/07/2017 14:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,S,,A,,B,,B,,C,,A,,C,,A,,A,,C,,C,,B,,B,,A,,C,,B,,C,,C,,A,,B,,A,,C,,A,,B,,B,,A,4,,3,
17,21/07/2017 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,T,,B,,B,,A,,B,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,A,,C,,A,,A,,B,,A,,C,,A,,B,,B,,A,2,,3,
18,21/07/2017 15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,U,,A,,B,,A,,B,,A,,C,,C,,A,,B,,C,,B,,B,,A,,C,,B,,C,,A,,B,,A,,A,,C,,A,,B,,B,,A,3,,4,
19,21/07/2017 14:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,V,,A,,B,,C,,C,,B,,C,,A,,B,,B,,C,,B,,B,,A,,C,,B,,A,,C,,A,,C,,A,,C,,A,,B,,B,,A,4,,3,
20,21/07/2017 15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,W,,A,,B,,A,,B,,A,,C,,A,,B,,A,,C,,B,,B,,A,,C,,B,,B,,C,,A,,B,,A,,C,,A,,A,,B,,A,3,,4,
20,21/07/2017 14:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,X,,A,,B,,A,,C,,A,,C,,C,,A,,A,,C,,B,,B,,A,,C,,B,,B,,C,,B,,A,,A,,C,,B,,B,,B,,A,2,,4,
21,21/07/2017 14:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Y,,A,,B,,A,,B,,A,,B,,C,,C,,A,,C,,B,,B,,A,,C,,B,,C,,A,,A,,B,,A,,C,,A,,B,,B,,A,4,,2,
22,21/07/2017 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Z,,A,,B,,B,,B,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,A,,C,,B,,A,,C,,A,,B,,A,,C,,B,,A,4,,4,
23,21/07/2017 14:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB,,A,,B,,A,,C,,A,,B,,A,,C,,A,,C,,B,,B,,A,,C,,A,,C,,A,,A,,C,,C,,A,,A,,B,,B,,A,4,,4,
24,21/07/2017 14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AC,,A,,B,,A,,B,,A,,B,,A,,B,,A,,C,,B,,C,,A,,C,,B,,A,,A,,A,,B,,A,,C,,A,,B,,B,,A,3,,4,
24,21/07/2017 14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AD,,A,,B,,B,,B,,B,,B,,C,,B,,B,,C,,B,,B,,A,,C,,B,,C,,C,,A,,B,,C,,C,,A,,B,,B,,C,4,,2,
25,21/07/2017 14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AE,,A,,B,,A,,B,,A,,B,,A,,C,,B,,C,,B,,B,,A,,C,,B,,A,,B,,A,,B,,A,,B,,A,,B,,B,,A,4,,4,
26,21/07/2017 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AF,,B,,B,,A,,C,,A,,B,,B,,A,,A,,C,,C,,B,,A,,C,,B,,B,,C,,A,,B,,B,,C,,A,,B,,B,,A,1,,4,
27,21/07/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AG,,A,,A,,C,,C,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,C,,C,,A,,C,,A,,A,,A,,B,,B,,A,2,,1,
28,21/07/2017 14:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AH,,A,,B,,C,,C,,A,,B,,C,,B,,A,,C,,B,,B,,A,,C,,B,,B,,C,,A,,C,,A,,C,,A,,B,,B,,A,4,,3,
28,21/07/2017 14:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
